site;algeria;egypt;libya;morocco;latitude;alt;dist_towns;dist_coast;area;ecosystem;dam
Site 1;1;0;0;0;36,8310239;12,23;8121,33;2077,128;0,935;3;0
Site 2;1;0;0;0;33,49379641;40,08;2345,41;434513,588;0,238;2;0
Site 3;1;0;0;0;36,53317578;311,78;3305,64;48376,758;0,159;1;1
Site 4;1;0;0;0;36,35130578;289,28;10237,28;33455,536;4,129;2;1
Site 5;1;0;0;0;36,85037903;58,9;3950,2;3249,521;0,307;3;1
Site 6;1;0;0;0;36,14790988;849,96;17563,14;69422,228;10,022;3;1
Site 7;1;0;0;0;35,1727718;935,64;8203,38;235988,172;3,556;3;1
Site 8;1;0;0;0;35,72859277;629,23;5748,02;122453,152;15,651;3;1
Site 9;1;0;0;0;36,52095784;99,41;3032,69;15076,494;3,376;3;1
Site 10;1;0;0;0;36,77076959;39,49;1685,05;8902,973;0,181;2;1
Site 11;1;0;0;0;35,39022457;206,84;20882,23;57299,891;3,210;3;1
Site 12;1;0;0;0;36,77358672;168,62;12407,91;17207,506;0,404;3;1
Site 13;1;0;0;0;36,56351639;286,69;3944,25;43171,834;0,227;1;1
Site 14;1;0;0;0;35,5167863;97,46;10105,03;41929,026;1,203;3;1
Site 15;1;0;0;0;34,87020128;191,81;14986,99;251384,118;2,497;4;1
Site 16;1;0;0;0;35,46883575;961,46;4047,64;195343,312;0,444;1;1
Site 17;1;0;0;0;36,69844496;150,96;5082,82;36258,962;6,364;2;1
Site 18;1;0;0;0;36,63920476;145,99;6016,2;18731,736;4,707;3;1
Site 19;1;0;0;0;36,74457863;48,58;10447,17;22161,02;5,176;3;1
Site 20;1;0;0;0;36,25774297;682,66;6046,64;75699,904;1,960;3;1
Site 21;1;0;0;0;31,12352882;587;67608,11;528786,726;0,383;4;1
Site 22;1;0;0;0;35,29026221;412,52;5103,88;58615,053;2,190;2;1
Site 23;1;0;0;0;36,57846467;195,82;13195,8;42676,643;1,656;3;1
Site 24;1;0;0;0;31,54822504;690;35679,1;473402,45;56,510;4;1
Site 25;1;0;0;0;36,13745731;428,5;4512,29;63008,637;10,060;3;1
Site 26;1;0;0;0;36,59930752;187,4;5933,67;25063,077;1,011;1;1
Site 27;1;0;0;0;35,83864593;618,12;25019,43;132499,453;2,237;4;1
Site 28;1;0;0;0;36,15994003;949,81;4326,49;66718,181;0,216;3;1
Site 29;1;0;0;0;36,22034743;718,74;4410,15;91940,061;4,193;1;1
Site 30;1;0;0;0;36,57875399;319,32;2338,99;38779,657;0,117;2;1
Site 32;1;0;0;0;35,73177272;827,41;27900,49;160133,822;1,447;2;0
Site 34;1;0;0;0;36,89549231;9,77;5046,93;13064,954;0,062;3;0
Site 35;1;0;0;0;31,96196347;126,5;3744,8;586949,817;1,139;4;0
Site 36;1;0;0;0;30,4640334;365;16255,54;785528,593;8,416;4;0
Site 37;1;0;0;0;35,91119061;879,08;9465,2;110373,458;13,209;2;0
Site 38;1;0;0;0;33,01483611;76,83;1346,22;467301,578;0,029;4;0
Site 39;1;0;0;0;35,89357983;898,74;16381,65;107741,544;4,549;2;0
Site 40;1;0;0;0;35,83094862;793,75;8857,86;146923,737;1,216;2;0
Site 41;1;0;0;0;35,43416799;393,14;25823,92;175080,346;356,387;4;0
Site 42;1;0;0;0;35,61489782;832,71;20753,34;175748,153;0,947;2;0
Site 43;1;0;0;0;35,74324953;801,44;9724,34;153996,093;0,783;3;0
Site 44;1;0;0;0;33,07493966;67,75;11510,06;458857,256;0,075;4;0
Site 45;1;0;0;0;32,0418789;126,6;13465,63;580093,394;7,225;4;0
Site 46;1;0;0;0;35,54521723;96,7;10144,58;24826,081;1,608;4;0
Site 47;1;0;0;0;34,49591688;1075,07;21279,07;103672,826;12,096;1;0
Site 48;1;0;0;0;35,24276856;455,23;9301,99;64880,169;0,387;1;0
Site 49;1;0;0;0;30,87605087;0;88315,59;559449,277;30,718;4;0
Site 50;1;0;0;0;35,66697267;83,11;3117,48;7641,532;1,172;3;0
Site 51;1;0;0;0;36,81698537;9,44;6375,52;3030,648;0,122;3;0
Site 52;1;0;0;0;35,39078445;1061,69;12991,82;208979,948;2,473;2;0
Site 53;1;0;0;0;35,50424413;910,33;7243,46;191702,553;0,024;2;0
Site 54;1;0;0;0;35,77540285;823,01;23991,14;153786,742;48,076;2;0
Site 55;1;0;0;0;35,69858045;831;24647,72;165427,88;108,200;2;0
Site 56;1;0;0;0;35,7715436;827,01;22503,8;153916,667;30,780;2;0
Site 57;1;0;0;0;35,65013323;787,75;28978,84;165834,574;0,006;3;0
Site 58;1;0;0;0;36,96028804;1,3;13964,87;6114,218;1,147;3;0
Site 59;1;0;0;0;36,9734944;1,19;15903,52;3896,879;0,879;4;0
Site 60;1;0;0;0;36,19982232;830,71;15936,66;92286,871;0,004;2;0
Site 61;1;0;0;0;36,86451529;7,63;3463,45;12788,157;0,863;4;0
Site 62;1;0;0;0;36,91601267;3,24;7981,08;11407,783;5,142;4;0
Site 63;1;0;0;0;36,80235435;12,32;4695,82;3619,791;0,236;3;0
Site 64;1;0;0;0;35,54062553;80,38;11266,44;25495,627;188,605;3;0
Site 65;1;0;0;0;34,21121365;-27,91;65923,46;361226,547;31,452;3;0
Site 66;1;0;0;0;36,58496413;655,69;15131,86;15272,036;6,815;1;1
Site 68;1;0;0;0;36,39916667;931,75;7350,89;73066,55;0,004;3;1
Site 69;1;0;0;0;36,40065211;939,07;6912,84;73078,539;0,010;3;1
Site 70;1;0;0;0;36,90934734;0,42;11713,82;2036,45;0,020;3;0
Site 71;1;0;0;0;36,87429337;1,24;6185,47;1461,436;0,056;2;0
Site 72;1;0;0;0;33,20570395;57,76;1793,9;452580,509;0,012;4;0
Site 73;1;0;0;0;33,28804167;51,67;12685,79;451655,362;0,010;4;0
Site 74;1;0;0;0;35,67093229;88,11;1837,41;12205,447;0,030;3;0
Site 75;1;0;0;0;35,71966071;81,25;4501,6;16206,258;7,276;3;0
Site 76;1;0;0;0;36,78101271;2,83;8240,42;16241,117;0,365;4;0
Site 77;1;0;0;0;36,78941371;10,72;8150,9;27904,633;97,157;3;0
Site 78;1;0;0;0;36,89242972;-2,94;12972,36;4450,543;8,417;3;0
Site 79;1;0;0;0;36,84512223;22,51;9079,19;8803,778;23,256;3;0
Site 80;1;0;0;0;35,60121609;101,29;7292,1;26527,676;3,303;3;0
Site 81;1;0;0;0;33,70463611;11,79;24139,15;407835,564;0,029;2;0
Site 82;1;0;0;0;36,85448355;-1,44;8403,95;7441,348;19,516;3;0
Site 83;1;0;0;0;35,88437593;784,55;9804,78;143414,555;10,299;1;0
Site 84;1;0;0;0;36,08371822;553,08;21237,45;112395,193;0,074;2;0
Site 85;1;0;0;0;36,026375;523,42;16152,27;118622,047;0,077;1;0
Site 86;1;0;0;0;35,74919943;-0,54;7654,77;6298,975;19,235;3;0
Site 87;1;0;0;0;36,77698151;-0,07;12383,1;12416,32;46,766;3;0
Site 88;1;0;0;0;36,77004817;22,54;2984,65;2435,858;0,896;3;0
Site 89;1;0;0;0;35,79913635;812,31;15841,32;140730,272;0,092;3;0
Site 90;1;0;0;0;36,79764583;16,21;5886,89;17547,695;0,015;2;0
Site 91;1;0;0;0;36,00914939;59,39;10597,98;52318,232;8,875;3;1
Site 92;1;0;0;0;36,14992578;869,07;11967;96987,218;1,158;1;1
Site 93;1;0;0;0;35,78300781;835,18;13224;153312,554;1,656;1;0
Site 94;1;0;0;0;33,41266005;43,14;14653,08;447170,376;0,119;4;0
Site 95;1;0;0;0;36,69384941;10,62;3195,03;782,423;0,032;2;0
Site 96;1;0;0;0;36,74953924;41,02;3142,91;20916,435;0,276;3;0
Site 97;1;0;0;0;34,55428263;-20,39;33116,28;297277,655;0,047;3;0
Site 100;1;0;0;0;36,73151506;187,05;3093,32;22237,02;0,221;2;1
Site 101;1;0;0;0;36,8845808;11,17;3734,61;14477,296;0,015;3;0
