rain;economy;agri
163,7;0,8;16,239
60,7;0,8;16,239
163,7;0,8;16,239
174,8;0,8;16,239
163,7;0,8;16,239
227,9;0,8;16,239
324,6;0,8;16,239
230,7;0,8;16,239
243,5;0,8;16,239
262,6;0,8;16,239
162,5;0,8;16,239
197,3;0,8;16,239
163,7;0,8;16,239
175,1;0,8;16,239
100,5;0,8;16,239
262,2;0,8;16,239
287,4;0,8;16,239
133,4;0,8;16,239
300;0,8;16,239
223,9;0,8;16,239
113;0,8;16,239
159,2;0,8;16,239
287,4;0,8;16,239
149,8;0,8;16,239
174,8;0,8;16,239
133,4;0,8;16,239
191,1;0,8;16,239
227,9;0,8;16,239
197,2;0,8;16,239
163,7;0,8;16,239
233,5;0,8;16,239
298;0,8;16,239
37,5;0,8;16,239
27,4;0,8;16,239
192,8;0,8;16,239
53,8;0,8;16,239
192,8;0,8;16,239
179,8;0,8;16,239
181,3;0,8;16,239
255,1;0,8;16,239
179,8;0,8;16,239
53,8;0,8;16,239
46,6;0,8;16,239
166,6;0,8;16,239
172,3;0,8;16,239
159,2;0,8;16,239
71,4;0,8;16,239
166,6;0,8;16,239
262,6;0,8;16,239
324,6;0,8;16,239
255,1;0,8;16,239
233,5;0,8;16,239
255,1;0,8;16,239
233,5;0,8;16,239
344,1;0,8;16,239
298;0,8;16,239
298;0,8;16,239
320,4;0,8;16,239
298;0,8;16,239
298;0,8;16,239
262,6;0,8;16,239
166,6;0,8;16,239
122,3;0,8;16,239
262,6;0,8;16,239
208;0,8;16,239
208;0,8;16,239
300;0,8;16,239
273,3;0,8;16,239
53,8;0,8;16,239
53,8;0,8;16,239
166,6;0,8;16,239
170,6;0,8;16,239
300;0,8;16,239
315,6;0,8;16,239
300;0,8;16,239
300;0,8;16,239
170,6;0,8;16,239
66,7;0,8;16,239
300;0,8;16,239
179,8;0,8;16,239
369,4;0,8;16,239
369,4;0,8;16,239
170,6;0,8;16,239
300;0,8;16,239
133,4;0,8;16,239
179,8;0,8;16,239
300;0,8;16,239
222,9;0,8;16,239
320,4;0,8;16,239
255,1;0,8;16,239
53,8;0,8;16,239
