site;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Site 1;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;0;0;0;0;NA;2;0;NA;0;5;0;0;0;0;0;0;0
Site 2;NA;10;0;60;0;NA;0;25;110;45;0;0;56;0;12;0;35;94;40;55;35;16;6;9;21;0;42;120
Site 3;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;6;0;0;0;0;0;0;0;0
Site 4;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;0;0
Site 5;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;NA;NA;NA;NA;NA;NA;NA;0;0;2
Site 6;2;0;NA;0;0;NA;NA;NA;NA;0;0;0;NA;0;2;0;0;200;804;0;0;8;20;0;300;0;544;800
Site 7;0;0;0;0;0;0;0;9;0;NA;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site 8;0;0;1000;NA;NA;57;NA;NA;NA;NA;NA;0;5;6;4;2;10;0;555;160;2800;118;3;0;0;20;0;77
Site 9;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;0;138;0;21;0;116;62;0;35;0;37;0;12
Site 10;NA;NA;0;0;0;0;0;0;4;2;4;34;20;290;6;2;0;6;10;8;8;0;NA;0;0;12;12;0
Site 12;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;3;0;0;0
Site 13;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;65;0;45;0;0;2;0;0;8
Site 14;NA;0;65;0;NA;NA;NA;0;NA;0;0;NA;NA;NA;0;30;70;140;60;0;110;204;216;0;119;85;970;260
Site 15;NA;NA;4;0;NA;NA;NA;NA;0;20;0;NA;NA;NA;0;16;27;236;17;0;0;0;10;26;0;3;0;11
Site 16;NA;0;NA;0;NA;9;NA;0;0;NA;2;4;7;0;0;0;0;4;0;100;0;0;2;3;3;0;0;NA
Site 18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;3;0;0;0;0;0;0;0
Site 19;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;NA;NA;0;0;0;0;0;0;0;0;81
Site 20;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;72;0
Site 21;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;14;0
Site 22;NA;NA;NA;NA;NA;NA;NA;4;0;4;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0
Site 24;NA;NA;NA;0;0;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;100;0;0;0
Site 25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;0;0;0
Site 26;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;18;0;0;0;3;0;0;0;0
Site 27;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;0;758;246;246;320;50;82;0;0;0;0;0
Site 28;2;0;NA;200;0;NA;NA;NA;200;0;160;50;NA;0;200;0;140;12;30;0;0;140;0;50;64;192;200;134
Site 30;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;NA;0;0;0
Site 31;0;0;0;NA;100;NA;NA;NA;NA;NA;25;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;0
Site 34;NA;NA;0;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;1;0;16;0;1;0
Site 36;100;NA;NA;NA;3;NA;NA;NA;NA;0;NA;NA;0;0;1000;0;0;0;0;NA;0;0;0;150;490;280;296;416
Site 37;NA;0;NA;0;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;60;100;340;0;252;0;0
